Timestamp,Location,Day,Your initials,Gender,Year,Financial Aid,Sports,Sexual Orientation,Race,Concentration,Legacy,First gen,Domestic/Intl,Greek,21 or older,Q1 Paxson,Q2 Advisor,Q3 Cigs,Q4 Election,Q5 CAPS,Q6 Exercise,Q7 Coffee,Q8 Shamed,Q9 Food,Q10 Med/law advising,Q11 Selling,Q12 Cheating,Q13 Substance use in class
11/3/2015 23:57:26,SciLi,Day 2,LG,Male,Senior,None,No,Heterosexual,White,Humanities/arts,No,No,Domestic,No,Yes,No opinion,1-2,Several times per month,Hillary Clinton,1,11-13,15-21,No,No opinion,No opinion,No,I have been cheated on,I have been under the influence of another controlled substance during class
11/3/2015 23:57:58,SciLi,Day 2,js,Female,Sophomore,None,No,Heterosexual,Asian,Humanities/arts,No,No,International,No,No,No opinion,1-2,I do not smoke cigarettes or e-cigarettes,I am uninterested in voting or ineligible to vote,0,0,0,,Somewhat dissatisfied,No opinion,No,I have never been in an exclusive relationship,I have never been intoxicated during class
11/3/2015 23:58:02,SciLi,Day 2,BH,Male,First-year,,Yes,Heterosexual,"White, Asian",Social sciences,No,No,Domestic,No,No,Strongly approve,1-2,Rarely,Ted Cruz,1,4-7,0,No,Very satisfied,No opinion,No,"I have been in at least one exclusive relationship, and I have neither cheated nor been cheated on",I have never been intoxicated during class
11/3/2015 23:59:01,SciLi,Day 2,jmp,Male,Sophomore,Grants and loans,No,Heterosexual,Asian,Physical sciences,No,Yes,Domestic,No,No,Somewhat approve,1-2,I do not smoke cigarettes or e-cigarettes,Bernie Sanders,0,11-13,1-3,No,Somewhat dissatisfied,Somewhat dissatisfied,No,I have never been in an exclusive relationship,I have never been intoxicated during class
11/3/2015 23:59:15,SciLi,Day 2,js,Male,First-year,None,No,Heterosexual,White,"Humanities/arts, Life sciences, Physical sciences",Yes,No,Domestic,No,No,Strongly approve,1-2,I do not smoke cigarettes or e-cigarettes,Bernie Sanders,0,4-7,0,No,Somewhat dissatisfied,I am not considering applying to law or medical school,No,I have never been in an exclusive relationship,I have never been intoxicated during class
11/3/2015 23:59:40,SciLi,Day 2,LG,Female,Sophomore,Grants and loans,No,Heterosexual,White,Humanities/arts,,No,Domestic,No,No,Somewhat approve,1-2,I do not smoke cigarettes or e-cigarettes,I am unsure,0,0,4-7,No,Somewhat dissatisfied,No opinion,No,"I have been in at least one exclusive relationship, and I have neither cheated nor been cheated on",I have never been intoxicated during class
11/4/2015 0:01:26,SciLi,Day 2,LG,Male,First-year,None,Yes,Heterosexual,"White, Asian","Humanities/arts, Physical sciences",Yes,No,Domestic,No,No,No opinion,1-2,I do not smoke cigarettes or e-cigarettes,I am unsure,0,14 or more,1-3,No,Somewhat satisfied,I am not considering applying to law or medical school,No,"I have been in at least one exclusive relationship, and I have neither cheated nor been cheated on",I have never been intoxicated during class
11/4/2015 0:01:38,SciLi,Day 2,js,Female,Sophomore,"Grants, covering some costs",No,Heterosexual,Asian,Physical sciences,No,Yes,International,No,Yes,Somewhat approve,3-4,I do not smoke cigarettes or e-cigarettes,I am uninterested in voting or ineligible to vote,0,4-7,0,No,Somewhat dissatisfied,No opinion,No,I have never been in an exclusive relationship,I have never been intoxicated during class
11/4/2015 0:01:50,SciLi,Day 2,BH,Female,Junior,None,No,Heterosexual,Asian,Physical sciences,Yes,No,Domestic,No,No,No opinion,1-2,Rarely,Hillary Clinton,0,4-7,4-7,No,Somewhat dissatisfied,No opinion,No,I have been cheated on,I have never been intoxicated during class
11/4/2015 0:03:15,SciLi,Day 2,jmp,Female,Sophomore,"Grants, covering all costs",No,Heterosexual,Hispanic,Physical sciences,No,Yes,Domestic,No,No,No opinion,1-2,I do not smoke cigarettes or e-cigarettes,Bernie Sanders,0,1-3,4-7,No,Somewhat satisfied,No opinion,No,I have never been in an exclusive relationship,I have never been intoxicated during class
11/4/2015 0:03:46,SciLi,Day 2,LG,Female,First-year,Grants and loans,No,Heterosexual,White,Humanities/arts,No,No,Domestic,No,No,Strongly disapprove,1-2,Several times per month,Bernie Sanders,0,1-3,8-14,No,Somewhat satisfied,I am not considering applying to law or medical school,No,"I have been in at least one exclusive relationship, and I have neither cheated nor been cheated on",I have never been intoxicated during class
11/4/2015 0:05:03,SciLi,Day 2,BH,Female,First-year,,No,Heterosexual,Black,Physical sciences,No,Yes,International,No,No,No opinion,1-2,I do not smoke cigarettes or e-cigarettes,I am uninterested in voting or ineligible to vote,0,1-3,0,No,Somewhat dissatisfied,Somewhat satisfied,No,I have never been in an exclusive relationship,I have never been intoxicated during class
11/4/2015 0:05:40,SciLi,Day 2,js,Male,Sophomore,"Grants, covering all costs",No,Heterosexual,White,Social sciences,No,No,Domestic,No,No,No opinion,1-2,I do not smoke cigarettes or e-cigarettes,Rand Paul,0,14 or more,0,Yes,Somewhat satisfied,Somewhat dissatisfied,Yes,I have never been in an exclusive relationship,I have been drunk during class
11/4/2015 0:05:29,SciLi,Day 2,LG,Male,Sophomore,,No,Heterosexual,Other,Physical sciences,,Yes,International,No,Yes,Strongly approve,0,I do not smoke cigarettes or e-cigarettes,,0,1-3,4-7,No,Somewhat satisfied,Somewhat dissatisfied,No,I have never been in an exclusive relationship,I have never been intoxicated during class
11/4/2015 0:07:12,SciLi,Day 2,BH,Male,Senior,None,No,Heterosexual,"White, Asian","Humanities/arts, Social sciences",No,No,Domestic,No,Yes,No opinion,0,At least daily,I am unsure,2-4,0,0,No,Not familiar enough,I am not considering applying to law or medical school,No,I have never been in an exclusive relationship,I have been under the influence of marijuana during class
11/4/2015 0:07:18,SciLi,Day 2,LG,Male,Sophomore,None,No,Heterosexual,White,"Life sciences, Physical sciences",No,No,Domestic,No,No,Somewhat approve,3-4,I do not smoke cigarettes or e-cigarettes,Bernie Sanders,2-4,0,0,No,Somewhat satisfied,I am not considering applying to law or medical school,No,"I have been in at least one exclusive relationship, and I have neither cheated nor been cheated on",I have never been intoxicated during class
